Unselbstst„ndiges Einkommen nach Bezirk und Geschlecht ab 2002;;;;;;;;;;;;;;;
Income from dependent employment by district and sex since 2002;;;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;INCOME_TOTAL;INCOME_MEN;INCOME_WOMEN;AVERAGE_INCOME_TOTAL;AVERAGE_INCOME_MEN;AVERAGE_INCOME_WOMEN;AVERAGE_INCOME_FULLTIME_TOTAL;AVERAGE_INCOME_FULLTIME_MEN;AVERAGE_INCOME_FULLTIME_WOMEN;REF_DATE;
AT1;AT13;AT130;90501;0000;637657397;370235348;267422048;17682;19416;15796;26163;28367;23481;20071231;
AT1;AT13;AT130;90601;0000;447415299;262058217;185357083;21037;23751;18211;30819;34494;26594;20071231;
AT1;AT13;AT130;90701;0000;478243350;272280108;205963242;21191;24355;18205;31309;34789;27458;20071231;
AT1;AT13;AT130;90801;0000;387125659;227844048;159281611;22698;26717;18842;33601;38205;28547;20071231;
AT1;AT13;AT130;90901;0000;604368144;357092705;247275439;21359;25027;17786;32260;36655;27332;20071231;
AT1;AT13;AT130;91001;0000;1904193093;1147738836;756454257;17454;19251;15370;24156;25895;21729;20071231;
AT1;AT13;AT130;91101;0000;1029558158;625887858;403670300;17984;20050;15597;24159;26005;21493;20071231;
AT1;AT13;AT130;91201;0000;995810027;588434967;407375059;17926;19705;15933;25263;27142;22787;20071231;
AT1;AT13;AT130;91301;0000;853690840;540643667;313047173;26946;33693;20356;37175;44095;28700;20071231;
AT1;AT13;AT130;91401;0000;1151891742;686124742;465767000;20966;24002;17806;28742;31833;24869;20071231;
AT1;AT13;AT130;91501;0000;740478387;434973812;305504575;15800;16995;14413;23157;24540;21319;20071231;
AT1;AT13;AT130;91601;0000;1095592531;638754163;456838367;17612;19144;15903;25117;26903;22829;20071231;
AT1;AT13;AT130;91701;0000;657155869;391918087;265237782;18879;21219;16345;27731;30694;23967;20071231;
AT1;AT13;AT130;91801;0000;754922668;469045189;285877479;23280;28603;18107;34507;40471;27422;20071231;
AT1;AT13;AT130;91901;0000;1004936960;636973876;367963084;24683;30390;18941;35447;41388;28051;20071231;
AT1;AT13;AT130;92001;0000;850636474;503972714;346663761;16650;17982;15086;23803;25236;21860;20071231;
